date,amount,description,category
2025-10-26,-12.37,Concert,Entertainment
2025-10-26,-77.47,Concert,Entertainment
2025-10-26,-65.97,Uber,Transport
2025-10-26,-1008.69,Monthly Rent,Rent
2025-10-26,-96.84,Gas Station,Transport
2025-10-26,4576.57,Salary Deposit,Income
2025-10-26,-105.97,Water Bill,Utilities
2025-10-26,-106.32,Coffee Shop,Food
2025-10-26,4850.69,Salary Deposit,Income
2025-10-26,3094.73,Salary Deposit,Income
2025-10-26,-1407.87,Monthly Rent,Rent
2025-10-26,4981.68,Salary Deposit,Income
2025-10-26,-1412.63,Monthly Rent,Rent
2025-10-26,-28.51,Uber,Transport
2025-10-26,3110.32,Salary Deposit,Income
2025-10-26,-90.73,Water Bill,Utilities
2025-10-26,-122.01,Cinema,Entertainment
2025-10-26,-81.31,Fast Food,Food
2025-10-26,-172.2,Water Bill,Utilities
2025-10-26,-22.42,Netflix,Entertainment
2025-10-26,-175.4,Flight,Transport
2025-10-26,-1278.69,Monthly Rent,Rent
2025-10-26,-138.69,Internet,Utilities
2025-10-26,-685.73,Spotify,Entertainment
2025-10-26,-155.78,Internet,Utilities
2025-10-26,-178.78,Spotify,Entertainment
2025-10-26,-26.15,Electric Bill,Utilities
2025-10-26,-14.51,Internet,Utilities
2025-10-26,-96.43,Concert,Entertainment
2025-10-26,-1470.48,Monthly Rent,Rent
2025-10-26,-59.59,Groceries,Food
2025-10-26,-195.45,Flight,Transport
2025-10-26,-50.69,Netflix,Entertainment
2025-10-26,-34.48,Phone Bill,Utilities
2025-10-26,-24.02,Restaurant,Food
2025-10-26,4239.69,Salary Deposit,Income
2025-10-26,-1270.82,Monthly Rent,Rent
2025-10-26,-47.03,Phone Bill,Utilities
2025-10-26,-164.46,Subway,Transport
2025-10-26,-1120.87,Monthly Rent,Rent
2025-10-26,2812.33,Salary Deposit,Income
2025-10-26,-1462.1,Monthly Rent,Rent
2025-10-26,3610.81,Salary Deposit,Income
2025-10-26,3817.55,Salary Deposit,Income
2025-10-26,-44.18,Water Bill,Utilities
2025-10-26,-42.53,Restaurant,Food
2025-10-26,-61.1,Subway,Transport
2025-10-26,-76.36,Restaurant,Food
2025-10-26,-26.27,Uber,Transport
2025-10-26,-195.93,Uber,Transport
2025-10-26,-72.42,Concert,Entertainment
2025-10-26,-191.15,Restaurant,Food
2025-10-26,2932.8,Salary Deposit,Income
2025-10-26,-196.23,Fast Food,Food
2025-10-26,-1006.05,Monthly Rent,Rent
2025-10-26,3911.82,Salary Deposit,Income
2025-10-26,-185.85,Restaurant,Food
2025-10-26,-137.43,Phone Bill,Utilities
2025-10-26,3973.04,Salary Deposit,Income
2025-10-26,-34.7,Electric Bill,Utilities
2025-10-26,-43.47,Fast Food,Food
2025-10-26,4575.31,Salary Deposit,Income
2025-10-26,-12.81,Spotify,Entertainment
2025-10-26,-188.3,Phone Bill,Utilities
2025-10-26,-146.74,Spotify,Entertainment
2025-10-26,-99.53,Spotify,Entertainment
2025-10-26,-127.19,Groceries,Food
2025-10-26,-183.04,Cinema,Entertainment
2025-10-26,-111.47,Netflix,Entertainment
2025-10-26,2958.09,Salary Deposit,Income
2025-10-27,-185.96,Fast Food,Food
2025-10-27,-1225.42,Monthly Rent,Rent
2025-10-27,-1070.32,Monthly Rent,Rent
2025-10-27,-1340.23,Monthly Rent,Rent
2025-10-27,-156.83,Electric Bill,Utilities
2025-10-27,-107.06,Electric Bill,Utilities
2025-10-27,-174.79,Subway,Transport
2025-10-27,3222.91,Salary Deposit,Income
2025-10-27,3336.82,Salary Deposit,Income
2025-10-27,-63.11,Flight,Transport
2025-10-27,-1200.08,Monthly Rent,Rent
2025-10-27,2868.02,Salary Deposit,Income
2025-10-27,-141.64,Phone Bill,Utilities
2025-10-27,-192.67,Coffee Shop,Food
2025-10-27,-1057.36,Monthly Rent,Rent
2025-10-27,-167.04,Spotify,Entertainment
2025-10-27,-36.65,Spotify,Entertainment
2025-10-27,-58.53,Uber,Transport
2025-10-27,-17.93,Uber,Transport
2025-10-27,-255.16,Water Bill,Utilities
2025-10-27,-132.99,Spotify,Entertainment
2025-10-27,-173.6,Coffee Shop,Food
2025-10-27,-116.46,Groceries,Food
2025-10-27,-91.14,Groceries,Food
2025-10-27,-1382.08,Monthly Rent,Rent
2025-10-27,2996.48,Salary Deposit,Income
2025-10-27,-175.34,Groceries,Food
2025-10-27,-152.77,Uber,Transport
2025-10-27,-1136.6,Monthly Rent,Rent
2025-10-27,-1293.8,Monthly Rent,Rent
2025-10-27,2792.05,Salary Deposit,Income
2025-10-27,-81.83,Concert,Entertainment
2025-10-27,-163.4,Spotify,Entertainment
2025-10-27,-147.58,Cinema,Entertainment
2025-10-27,4928.29,Salary Deposit,Income
2025-10-27,-72.21,Subway,Transport
2025-10-27,-35.31,Concert,Entertainment
2025-10-27,-159.15,Netflix,Entertainment
2025-10-27,-1153.08,Monthly Rent,Rent
2025-10-27,-111.44,Netflix,Entertainment
2025-10-27,-34.8,Internet,Utilities
2025-10-27,-170.77,Groceries,Food
2025-10-27,-1369.28,Monthly Rent,Rent
2025-10-27,-1169.17,Monthly Rent,Rent
2025-10-27,-1196.18,Monthly Rent,Rent
2025-10-27,-68.2,Groceries,Food
2025-10-27,-72.61,Fast Food,Food
2025-10-27,-161.62,Flight,Transport
2025-10-27,-180.32,Restaurant,Food
2025-10-27,-131.28,Spotify,Entertainment
2025-10-27,-36.76,Coffee Shop,Food
2025-10-27,-79.2,Fast Food,Food
2025-10-27,-1243.85,Monthly Rent,Rent
2025-10-27,3440.26,Salary Deposit,Income
2025-10-27,-122.05,Gas Station,Transport
2025-10-27,-198.55,Gas Station,Transport
2025-10-27,-159.43,Restaurant,Food
2025-10-27,2747.84,Salary Deposit,Income
2025-10-27,-112.56,Groceries,Food
2025-10-27,4978.0,Salary Deposit,Income
2025-10-27,-13.98,Concert,Entertainment
2025-10-27,-20.1,Groceries,Food
2025-10-27,-194.74,Gas Station,Transport
2025-10-27,-189.11,Coffee Shop,Food
2025-10-27,3043.89,Salary Deposit,Income
2025-10-28,3127.15,Salary Deposit,Income
2025-10-28,-134.18,Groceries,Food
2025-10-28,-1115.46,Monthly Rent,Rent
2025-10-28,-138.49,Gas Station,Transport
2025-10-28,-11.23,Coffee Shop,Food
2025-10-28,2846.38,Salary Deposit,Income
2025-10-28,-174.61,Fast Food,Food
2025-10-28,-1108.12,Monthly Rent,Rent
2025-10-28,-158.83,Coffee Shop,Food
2025-10-28,-163.76,Subway,Transport
2025-10-28,4484.74,Salary Deposit,Income
2025-10-28,-24.08,Subway,Transport
2025-10-28,-22.29,Uber,Transport
2025-10-28,-65.31,Water Bill,Utilities
2025-10-28,-1333.74,Monthly Rent,Rent
2025-10-28,2751.58,Salary Deposit,Income
2025-10-28,4143.39,Salary Deposit,Income
2025-10-28,-46.15,Spotify,Entertainment
2025-10-28,-106.98,Cinema,Entertainment
2025-10-28,-163.45,Groceries,Food
2025-10-28,4479.5,Salary Deposit,Income
2025-10-28,-111.89,Phone Bill,Utilities
2025-10-28,-42.05,Water Bill,Utilities
2025-10-28,-131.77,Netflix,Entertainment
2025-10-28,-1313.29,Monthly Rent,Rent
2025-10-28,-87.91,Spotify,Entertainment
2025-10-28,-1487.36,Monthly Rent,Rent
2025-10-28,-110.82,Fast Food,Food
2025-10-28,-736.92,Internet,Utilities
2025-10-28,-133.56,Flight,Transport
2025-10-28,-41.81,Internet,Utilities
2025-10-28,-174.19,Fast Food,Food
2025-10-28,-1118.11,Monthly Rent,Rent
2025-10-28,-148.27,Coffee Shop,Food
2025-10-28,-36.54,Spotify,Entertainment
2025-10-28,-90.94,Restaurant,Food
2025-10-28,-195.59,Netflix,Entertainment
2025-10-28,-144.29,Coffee Shop,Food
2025-10-28,-168.17,Water Bill,Utilities
2025-10-28,4243.88,Salary Deposit,Income
2025-10-28,3920.23,Salary Deposit,Income
2025-10-28,-1118.97,Monthly Rent,Rent
2025-10-28,-83.03,Cinema,Entertainment
2025-10-28,-146.15,Concert,Entertainment
2025-10-28,-90.74,Flight,Transport
2025-10-28,-35.12,Subway,Transport
2025-10-28,-82.37,Groceries,Food
2025-10-28,3710.44,Salary Deposit,Income
2025-10-28,-108.22,Restaurant,Food
2025-10-28,-802.39,Coffee Shop,Food
2025-10-28,-79.64,Spotify,Entertainment
2025-10-28,-1088.25,Monthly Rent,Rent
2025-10-28,4114.4,Salary Deposit,Income
2025-10-28,-1375.71,Monthly Rent,Rent
2025-10-28,-130.07,Gas Station,Transport
2025-10-28,-1038.54,Monthly Rent,Rent
2025-10-28,-28.58,Electric Bill,Utilities
2025-10-28,3517.54,Salary Deposit,Income
2025-10-28,-69.75,Concert,Entertainment
2025-10-29,-53.08,Fast Food,Food
2025-10-29,-62.96,Coffee Shop,Food
2025-10-29,-41.35,Subway,Transport
2025-10-29,-1240.09,Monthly Rent,Rent
2025-10-29,-17.49,Groceries,Food
2025-10-29,-151.12,Fast Food,Food
2025-10-29,-1438.25,Monthly Rent,Rent
2025-10-29,-1426.92,Monthly Rent,Rent
2025-10-29,-35.97,Flight,Transport
2025-10-29,-123.11,Flight,Transport
2025-10-29,-63.75,Electric Bill,Utilities
2025-10-29,-162.3,Gas Station,Transport
2025-10-29,-67.45,Internet,Utilities
2025-10-29,-10.0,Electric Bill,Utilities
2025-10-29,-140.23,Groceries,Food
2025-10-29,-119.68,Coffee Shop,Food
2025-10-29,-24.65,Cinema,Entertainment
2025-10-29,-107.37,Internet,Utilities
2025-10-29,-141.39,Subway,Transport
2025-10-29,-82.84,Fast Food,Food
2025-10-29,-152.41,Cinema,Entertainment
2025-10-29,-103.36,Groceries,Food
2025-10-29,-155.26,Groceries,Food
2025-10-29,-1168.87,Monthly Rent,Rent
2025-10-29,-135.99,Cinema,Entertainment
2025-10-29,3739.52,Salary Deposit,Income
2025-10-29,-196.95,Phone Bill,Utilities
2025-10-29,-114.34,Groceries,Food
2025-10-29,-1156.4,Monthly Rent,Rent
2025-10-29,-127.25,Groceries,Food
2025-10-29,-83.12,Subway,Transport
2025-10-29,4970.21,Salary Deposit,Income
2025-10-29,-63.22,Cinema,Entertainment
2025-10-29,-127.46,Coffee Shop,Food
2025-10-29,-49.95,Water Bill,Utilities
2025-10-29,3769.57,Salary Deposit,Income
2025-10-29,-187.55,Phone Bill,Utilities
2025-10-29,-29.54,Flight,Transport
2025-10-29,-146.15,Netflix,Entertainment
2025-10-29,-195.3,Restaurant,Food
2025-10-29,2763.49,Salary Deposit,Income
2025-10-29,3124.69,Salary Deposit,Income
2025-10-29,4996.95,Salary Deposit,Income
2025-10-29,-421.14,Internet,Utilities
2025-10-29,-1299.09,Monthly Rent,Rent
2025-10-29,-71.09,Cinema,Entertainment
2025-10-29,4909.6,Salary Deposit,Income
2025-10-29,-86.41,Concert,Entertainment
2025-10-29,4647.2,Salary Deposit,Income
2025-10-29,-1162.69,Monthly Rent,Rent
2025-10-29,-1038.41,Monthly Rent,Rent
2025-10-30,-158.35,Internet,Utilities
2025-10-30,-135.59,Uber,Transport
2025-10-30,-1297.58,Monthly Rent,Rent
2025-10-30,-66.72,Groceries,Food
2025-10-30,-108.79,Concert,Entertainment
2025-10-30,-77.58,Phone Bill,Utilities
2025-10-30,-140.9,Gas Station,Transport
2025-10-30,-137.19,Subway,Transport
2025-10-30,-127.18,Phone Bill,Utilities
