date,description,amount,category,id,is_resolved
2024-01-25,Movie Tickets,-4609.24,Entertainment,95f0f34b-bccd-4752-8d8d-46f0118a9e14,False
2024-01-25,Grocery Store,-4508.91,Food,2f4b86ef-9b5c-4923-bd9f-04569b90f90a,False
2024-01-25,Amazon Order,-159.19,Shopping,06c245e4-81e2-4b0e-9e53-9a0014b5ba22,False
2024-01-25,Train Ticket,-2057.52,Transportation,7fe645cd-f912-40e8-8dd5-cacc6ec4d5ec,False
2024-01-25,Service Charge,-4561.35,Other,2d8b14dd-ba17-4cff-963d-fcf1514cded5,False
2024-01-25,Gas Cylinder,-4265.36,Utilities,44107020-72d7-452c-924f-06a3524157bb,False
2024-01-25,Bus Fare,-2095.92,Transportation,ed4705df-0ff4-40f6-a498-d7f468b0adf4,False
2024-01-25,Service Charge,-1299.0,Other,26c72353-8748-4177-8e35-8fd1de41f320,False
2024-01-25,Spotify Premium,-1924.91,Entertainment,fe9f7277-e8db-432d-bf45-1068cd6146ff,False
2024-01-25,Freelance Project,26759.87,Income,7bf197ee-467b-48ff-bb4e-8f5cf63ede0d,False
2024-01-26,Books Cache,-3760.49,Education,ac6944b9-7408-4529-9257-a17e1a77cef3,False
2024-01-26,Internet Plan,-774.38,Utilities,d4dc0ef7-0944-49ae-9b09-81dd9b540c09,False
2024-01-26,Uber Ride,-4808.57,Transportation,914562ba-eadb-4366-894e-7c07d31ad38b,False
2024-01-26,Doctor Consultation,-84.6,Healthcare,b4bdd61e-61c7-4687-8007-52a6ba20054d,False
2024-01-26,Doctor Consultation,-1294.6,Healthcare,fc198a78-7a76-43b2-81ac-119caca0f27d,False
2024-01-26,Electronics Store,-2702.35,Shopping,c03a8f5a-c69b-4d8e-b42e-d4cc2f927180,False
2024-01-26,Refund,24594.31,Income,bf0a5168-e6f4-47e4-be06-067d01740486,False
2024-01-27,Salary,39151.66,Income,7f121b4f-c66d-46e2-82c3-859ab1129162,False
2024-01-27,Service Charge,-2212.81,Other,6de379cb-ecd1-46ce-98a0-e371a2cb819f,False
2024-01-27,Clothing Mall,-4001.71,Shopping,0fdd5f14-e4fc-452a-8833-eba3a32a629e,False
2024-01-27,Petrol Pump,-1482.55,Transportation,ff27a7d5-9930-4fd6-8a14-423d2b28e0a6,False
2024-01-27,Car Maintenance,-955.46,Transportation,9f6f8041-2a7d-4a28-b05c-a555bc371203,False
2024-01-27,Salary,48563.01,Income,45f1db7c-6821-4df6-87af-d29019052084,False
2024-01-28,Electronics Store,-1927.42,Shopping,29b5dbb1-b0e3-4630-8091-8849c47c3c5f,False
2024-01-28,Spotify Premium,-3652.59,Entertainment,9ffbdaa2-a706-425f-a30a-b63df97085e1,False
2024-01-28,Health Insurance,-4582.88,Healthcare,820f107a-4822-48cb-9841-b492a665f5e4,False
2024-01-28,Concert Pass,-63.24,Entertainment,ff19d813-d1fe-4197-97bf-95539502ef32,False
2024-01-28,Service Charge,-939.03,Other,a5efeaa8-5276-4f88-b42d-da962974ced6,False
2024-01-28,Gift,48058.63,Income,2d123aca-9874-4abf-8998-1e4bf2e4ceaa,False
2024-01-28,Salary,5547.96,Income,625c7d03-e6c9-449c-8460-1c444d9635b6,False
2024-01-28,Loan Repayment,-2794.21,Other,692bc0ff-c0f2-463c-8f45-74517329a92c,False
2024-01-29,Salary,11890.9,Income,e22df302-8413-42da-9bc2-842f768a01ad,False
2024-01-29,Gym Membership,-317.98,Healthcare,67d595c5-0c8f-4c80-8691-c3a479fd3947,False
2024-01-29,Movie Tickets,-3818.54,Entertainment,a43c56c8-bc7c-4622-96f0-d60e8ef734c9,False
2024-01-29,Pizza Hut,-3105.34,Food,26da8d37-4b89-4f21-826c-419850cdf062,False
2024-01-29,Myntra Sale,-2699.38,Shopping,cdcb6ced-7b25-4026-8ec9-42efbe65a045,False
2024-01-29,Pizza Hut,-3023.49,Food,ccb7782d-b890-42b7-abef-823f7fcfb425,False
2024-01-29,Books Cache,-2054.89,Education,04c79100-2a93-4d8f-9a29-6933e5b36bc5,False
2024-01-29,Myntra Sale,-1945.12,Shopping,a2018d8d-ed16-4315-9263-7004797b8511,False
2024-01-29,Cafe Coffee Day,-2500.0,Food,c371679a-08f4-4f81-bd87-1f9e3d4eaf83,False
2024-01-29,Spotify Premium,-4989.68,Entertainment,bdde35fc-f694-4196-9261-9b53470d5662,False
2024-01-30,Pharmacy,-515.7,Healthcare,0dae1a86-c2f6-41e2-a317-d3c22c68a529,False
2024-01-30,Service Charge,-58.27,Other,1dd3e64c-5771-4fb7-9c47-2af62abe0d7a,False
2024-01-30,Video Game,-2336.18,Entertainment,219a68ab-1340-4fd7-96f4-cb638bd3c44b,False
2024-01-30,Bus Fare,-3709.81,Transportation,e57913ee-1f6b-496f-9368-cc77a0db066e,False
2024-01-30,Workshop Fee,-1394.6,Education,9a835fdc-55cb-4a51-9cb9-22313b7769fe,False
2024-01-30,Workshop Fee,-2510.21,Education,d251c44a-489e-4cba-bdb6-99025dd7185d,False
2024-01-30,Stationery,-4181.68,Education,0d721c18-ef26-4cf2-8b6c-d2692778a056,False
2024-01-30,Mobile Recharge,-82.74,Utilities,08534113-5353-4721-b036-b342784cdae5,False
2024-01-30,Refund,32541.54,Income,ddad9539-75ca-48c5-a87e-a35d055f6d7c,False
2024-01-31,College Fees,-4508.08,Education,b885c084-8ec8-4ff3-9d6a-628dafdd6206,False
2024-01-31,Salary,20724.97,Income,55471772-c8ac-4a93-8d66-3e0d02203b64,False
2024-01-31,Water Bill,-1341.19,Utilities,c362b7fb-68d2-459d-832f-612002af6e79,False
2024-01-31,Pizza Hut,-3248.63,Food,1dfbc925-5d8b-448c-95cf-b78ef9c72d3f,False
2024-01-31,Gas Cylinder,-689.43,Utilities,f2a47ef8-065e-47ee-8584-701312d3d9e3,False
2024-02-01,Cafe Coffee Day,-1330.61,Food,d78b5823-0299-41cb-8a78-37dfe65d8126,False
2024-02-01,Petrol Pump,-1268.44,Transportation,c016ed77-a02f-4b18-996d-4658ece3149c,False
2024-02-01,Lab Tests,-4787.35,Healthcare,9e94916f-f1a9-4a92-9213-516d0c4d8fb6,False
2024-02-01,Electronics Store,-3718.05,Shopping,d05d02e2-45b5-4758-b07b-4f620bec4dd9,False
2024-02-01,Electronics Store,-2432.06,Shopping,5e304c23-ad80-41d7-915f-424766b33b79,False
2024-02-02,Amazon Order,-739.47,Shopping,3f7d7a5b-1f40-43b4-b411-308153074598,False
